user,CSS3,HTML,Googlemap,Memcached,name,Git,Cpp,jQueryUI,NumPy,Julia,SQL,Scala,HTMLDOM,Rust,Linux,JavaScript,Maven,Bootstrap3,MySQL,MongoDB,Python2x,MVC,FontAwesome,XPath,JSON,Eclipse,PostgreSQL,jQuery,Designpatterns,Nodejs,Chartjs,JSP,Java,Docker,W3C,XLink,Foundation,Echarts,XQuery,Highcharts,Kotlin,Pandas,C,Razor,ASPNET,Scipy,XSLT,WebHosting,SQLite,AppML,Matplotlib,AngularJS,servlet,HTML5,ionic,DTD,PHP,Bootstrap4,SVG,XPointer,BrowserInformation,XSLFO,WebsiteBuilding,jQueryMobile,Vue3,TCPIP,Redis,SOAP,Swift,algorithms,WebService,Perl,ASP,RDF,Svn,VBScript,XML,Vuejs,AJAX,WebPages,Django,TypeScript,c_s,XMLDOM,Bootstrap5,Python,WebsiteQuality,Go,WSDL,CSS,XMLSchema,RSS,HTTP,R,WebForms,Markdown,Lua,AngularJS2,React,Ruby,regular,id
user0,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,0,0,0,6,6,0,6,6,6,6,6,6,0,6,6,0,6,6,0,6,6,6,6,0,6,6,0,6,0,6,0,6,6,6,6,6,6,0,6,0,0,0,6,6,6,0,6,6,6,6,6,6,6,0,6,6,6,0,6,0,6,6,6,6,1
user1,5,5,5,5,5,5,5,5,5,0,5,5,5,0,5,0,5,5,5,0,0,5,0,0,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,0,5,0,5,5,0,5,5,0,5,5,5,5,5,5,5,0,5,5,5,0,5,5,0,5,5,5,5,5,5,0,5,5,5,5,0,5,0,5,5,5,5,5,5,5,5,0,5,0,2
user2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
user3,6,6,6,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,0,0,6,0,6,0,6,6,6,6,6,6,6,6,6,0,6,0,6,6,6,6,6,0,6,6,6,6,0,0,0,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,0,4
user4,3,3,3,0,3,3,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,0,0,3,3,3,0,0,3,3,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,0,3,3,3,3,0,0,3,0,5
user5,6,6,6,0,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,0,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,6,0,6,6,6,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,6,6,6,0,0,0,0,6,6,6,6,6,6,6,6,0,0,6,6,0,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6
user6,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,4,4,4,0,4,4,4,0,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,0,4,0,0,4,4,7
user7,4,4,4,0,4,0,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,0,4,0,4,4,4,0,4,4,0,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,4,4,4,4,4,4,4,8
user8,0,4,4,4,0,4,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,0,0,4,4,4,0,4,4,4,0,4,4,4,4,4,0,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,0,4,0,0,4,4,4,4,4,4,4,9
user9,6,6,6,6,6,0,6,6,6,0,0,6,6,6,6,0,6,6,6,6,6,0,6,0,0,6,0,6,6,0,6,6,6,0,0,0,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,10
