user,JAVA,Python,C++,C#,PHP,JavaScript,Ruby,R,MATLAB,SQL,第八个嫌疑人,抖音,支付宝,微信,苹果手机,小米手机
user0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
user5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user7,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0
user8,4,0,4,4,0,4,4,4,4,0,4,4,4,4,4,4
user9,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9
user10,6,6,0,6,6,6,0,0,6,6,6,6,6,6,6,6
user11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user15,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
user16,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4
user17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user18,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
user19,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3
user20,7,7,7,7,7,7,7,7,7,7,0,0,7,7,7,7
user21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user25,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2
user26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user27,0,2,2,2,2,2,2,2,2,0,2,0,2,2,0,2
user28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
user30,4,4,4,0,4,4,0,0,4,4,0,4,0,4,4,4
user31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user36,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7
user37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
